date,lunar_year,phase,month,event,season,s_num,s_total,u_days,m_days,av,calendar,status,comments
2017-11-18,2561,new,1,,hemanta,1,8,15,30,0,mahanikaya,predicted,
2017-12-03,2561,full,1,,hemanta,2,8,15,30,0,mahanikaya,predicted,
2017-12-17,2561,new,2,,hemanta,3,8,14,29,0,mahanikaya,predicted,
2018-01-01,2561,full,2,,hemanta,4,8,15,29,0,mahanikaya,predicted,
2018-01-16,2561,new,3,,hemanta,5,8,15,30,0,mahanikaya,predicted,
2018-01-31,2561,full,3,magha,hemanta,6,8,15,30,0,mahanikaya,predicted,
2018-02-14,2561,new,4,,hemanta,7,8,14,29,0,mahanikaya,predicted,
2018-03-01,2561,full,4,,hemanta,8,8,15,29,0,mahanikaya,predicted,
2018-03-16,2561,new,5,,gimhana,1,10,15,30,0,mahanikaya,predicted,
2018-03-31,2561,full,5,,gimhana,2,10,15,30,0,mahanikaya,predicted,
2018-04-14,2561,new,6,,gimhana,3,10,14,29,0,mahanikaya,predicted,
2018-04-29,2561,full,6,visakha,gimhana,4,10,15,29,0,mahanikaya,predicted,
2018-05-13,2561,new,7,,gimhana,5,10,15,30,0,mahanikaya,predicted,
2018-05-28,2561,full,7,,gimhana,6,10,15,30,0,mahanikaya,predicted,
2018-06-12,2561,new,8,,gimhana,7,10,14,29,0,mahanikaya,predicted,
2018-06-27,2561,full,8,,gimhana,8,10,15,29,0,mahanikaya,predicted,
2018-07-11,2561,new,“8/8”,,gimhana,9,10,15,30,0,mahanikaya,predicted,
2018-07-26,2561,full,“8/8”,asalha,gimhana,10,10,15,30,0,mahanikaya,predicted,
2018-08-10,2561,new,9,,vassana,1,8,15,30,0,mahanikaya,predicted,
2018-08-25,2561,full,9,,vassana,2,8,15,30,0,mahanikaya,predicted,
2018-09-08,2561,new,10,,vassana,3,8,14,29,0,mahanikaya,predicted,
2018-09-23,2561,full,10,,vassana,4,8,15,29,0,mahanikaya,predicted,
2018-10-08,2561,new,11,,vassana,5,8,15,30,0,mahanikaya,predicted,
2018-10-23,2561,full,11,pavarana,vassana,6,8,15,30,0,mahanikaya,predicted,
2018-11-06,2561,new,12,,vassana,7,8,14,29,0,mahanikaya,predicted,
2018-11-21,2561,full,12,,vassana,8,8,15,29,0,mahanikaya,predicted,
