date,lunar_year,phase,month,event,season,s_num,s_total,u_days,m_days,av,calendar,status,comments
2014-11-21,2558,new,1,,hemanta,1,8,15,30,0,mahanikaya,confirmed,
2014-12-06,2558,full,1,,hemanta,2,8,15,30,0,mahanikaya,confirmed,
2014-12-20,2558,new,2,,hemanta,3,8,14,29,0,mahanikaya,confirmed,
2015-01-04,2558,full,2,,hemanta,4,8,15,29,0,mahanikaya,confirmed,
2015-01-19,2558,new,3,,hemanta,5,8,15,30,0,mahanikaya,confirmed,
2015-02-03,2558,full,3,,hemanta,6,8,15,30,0,mahanikaya,confirmed,
2015-02-17,2558,new,4,,hemanta,7,8,14,29,0,mahanikaya,confirmed,
2015-03-04,2558,full,4,magha,hemanta,8,8,15,29,0,mahanikaya,confirmed,bot.or.th
2015-03-19,2558,new,5,,gimhana,1,10,15,30,0,mahanikaya,confirmed,
2015-04-03,2558,full,5,,gimhana,2,10,15,30,0,mahanikaya,confirmed,
2015-04-17,2558,new,6,,gimhana,3,10,14,29,0,mahanikaya,confirmed,
2015-05-02,2558,full,6,,gimhana,4,10,15,29,0,mahanikaya,confirmed,
2015-05-17,2558,new,7,,gimhana,5,10,15,30,0,mahanikaya,confirmed,
2015-06-01,2558,full,7,visakha,gimhana,6,10,15,30,0,mahanikaya,confirmed,bot.or.th
2015-06-15,2558,new,8,,gimhana,7,10,14,29,0,mahanikaya,confirmed,
2015-06-30,2558,full,8,,gimhana,8,10,15,29,0,mahanikaya,confirmed,
2015-07-15,2558,new,“8/8”,,gimhana,9,10,15,30,0,mahanikaya,confirmed,
2015-07-30,2558,full,“8/8”,asalha,gimhana,10,10,15,30,0,mahanikaya,confirmed,bot.or.th
2015-08-14,2558,new,9,,vassana,1,8,15,30,0,mahanikaya,confirmed,
2015-08-29,2558,full,9,,vassana,2,8,15,30,0,mahanikaya,confirmed,
2015-09-12,2558,new,10,,vassana,3,8,14,29,0,mahanikaya,confirmed,
2015-09-27,2558,full,10,,vassana,4,8,15,29,0,mahanikaya,confirmed,
2015-10-12,2558,new,11,,vassana,5,8,15,30,0,mahanikaya,confirmed,
2015-10-27,2558,full,11,pavarana,vassana,6,8,15,30,0,mahanikaya,confirmed,
2015-11-10,2558,new,12,,vassana,7,8,14,29,0,mahanikaya,confirmed,
2015-11-25,2558,full,12,,vassana,8,8,15,29,0,mahanikaya,confirmed,
